ordering,tick,event_index,agent_id,rule_hypothesis,predicted_action,actual_action,accuracy,coherence,prediction_entropy
forward,1,0,agent1,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",eat,eat,1,1.0000,0.3126
forward,1,1,agent2,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",migrate,eat,0,0.7000,0.6632
forward,1,2,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",migrate,eat,0,0.2900,0.6632
forward,1,3,agent4,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",eat,eat,1,0.2900,0.3126
forward,1,4,agent5,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",unknown,eat,0,0.7000,0.6632
forward,2,5,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",move,eat,0,0.2900,0.6632
forward,2,6,agent2,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",unknown,rest,0,0.3214,0.6632
forward,2,7,agent3,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",eat,rest,0,0.7000,0.3126
forward,2,8,agent4,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",eat,rest,0,0.2692,0.3126
forward,2,9,agent5,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",migrate,rest,0,0.2692,0.6632
forward,3,10,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",eat,rest,0,0.3214,0.3126
forward,3,11,agent2,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,3,12,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",migrate,rest,0,0.2900,0.6632
forward,3,13,agent4,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,3,14,agent5,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,4,15,agent1,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",unknown,rest,0,0.2692,0.6632
forward,4,16,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.3214,0.3126
forward,4,17,agent3,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,4,18,agent4,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.2900,0.3126
forward,4,19,agent5,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,5,20,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.8000,0.3126
